NIF;clave;nombre;direccion;latitud;longitud;frase
19228488N;jMt0xzO3v;Evita Aizkovitch;6 Canary Way;39.287584;0.935029;Esta escalera es de metal
11320820B;19fJboj;Griffie Burgne;4604 Boyd Junction;37.037168;0.365518;Este portatil es liviano
94825089O;iCVhYW2;Francesca Mulryan;625 Scofield Plaza;43.12593;-8.32051;Esto lleva trazas de ir para largo
40903013K;4lVIEU;Jeremie Pierson;19864 Cordelia Lane;38.378009;-4.306747;Este hombre esta vivo
27070093Q;YjGBvCTsWF;Tildi Scripps;9 Donald Hill;38.228229;-5.547254;Este hombre esta borracho
16142260Y;sCa2l8;Karlan Leworthy;6105 Ohio Junction;40.923175;-5.374627;Esta mision lleva consigo grandes riesgos
91954497O;54i6x6I;Urbain Aucoate;6602 Bartillon Circle;38.291216;2.438998;Esta manana llovia cuando tome el autobus
85773234E;iVqgOY;Mathew Skeemer;1 Kinsman Circle;37.652841;-1.807814;Este museo tiene una magnifica coleccion de arte moderno
79050595I;zt4XTa;Vincents Worshall;1 Donald Way;37.502846;-0.22073;Este museo lleva cerrado cinco anos
98130950C;GhezZ8TB;Gaspard Anthoine;03 Old Shore Road;36.720259;-8.933426;Este numero lleva premio
03792873I;MWiqCBk;Roanna Lebourn;7226 New Castle Junction;42.224064;-3.893396;Este hombre mayor es canoso
14233574F;PxVlmv;Christina Langmuir;79 Duke Lane;36.524409;2.725145;No soporto a los ninos traviesos
19666834W;K7ckkT7q;Nolie Iddenden;60931 Daystar Terrace;38.929221;-3.735989;Donde me pueden arreglar el reloj
34018192Q;fPagn6lwdLKq;Shane Yatman;21984 Burrows Trail;42.982992;-1.458239;Ella fue a ese concierto
58346413F;FYlVZu;Somerset Render;0132 Jenifer Trail;39.566787;-2.202263;Puedes hacerlo en una semana Eso creo
48049756X;SCuzdp;Syman Trahearn;8695 Northwestern Street;37.328655;1.346498;Fui a ver a su hermana la semana pasada
50751697Y;36o9cue1;Abigael Ditchfield;1 Eastwood Trail;41.899903;-9.128461;Soy americano
12607458M;vY753I;Fawne Reed;70 Prairie Rose Lane;39.014873;1.931659;Soy estadounidense
10199440W;rVkHOIud7BX;Merwyn Guiton;9 Memorial Parkway;38.943536;-5.974194;Estudio coreano
62951388M;NryMiM;Cyb Hince;381 Independence Point;41.181798;-8.35873;Habla claramente y hazte oir
26694282J;agCQOyAFEx;Freeland Coxen;13290 Raven Pass;41.793116;-4.211793;El juega muy bien al tenis
48939634K;cQCGWv;Teri Jeffs;3 Sycamore Court;40.241306;-5.533042;Este es tu perro
23198821P;WIm2fT;Nichols Leither;2294 Eastlawn Pass;36.459914;1.95653;Donde esta tu perro
29774081H;KY1Fp2g9Nw;Patsy Hulmes;75264 Vernon Crossing;36.686811;-4.310336;Juan es mas inteligente que Bill
13597917D;hHyEQKCSGYHI;Henrieta Fassbindler;9 Rutledge Way;40.734341;-6.551389;Este numero ha ganado un premio
13399195F;vZXV7AH8HKv;Gussy Moss;939 Briar Crest Park;39.951097;-3.106284;Este museo ha estado cerrado por cinco anos
11677913I;Zc7Fl0hi;Janina Searles;9571 Blue Bill Park Crossing;43.181888;-0.726831;Esta manana estaba lloviendo cuando tome el autobus
20606540Q;e9tShLypt5X;Justis Doust;0542 Grim Place;40.185786;0.825267;Habra nieve manana
25153732J;ewZLJM;Beau Felten;5973 Springs Hill;37.408184;0.86139;Ella dijo El es guapo
35607188P;DtYJO06eD;Ulick Athridge;12 Amoth Drive;36.390553;-5.921263;Donde me pueden arreglar mi reloj
15805681D;Up1thOEfObz2;Corinne Dibble;25896 Burrows Way;40.528191;-8.376579;Ella esta en la banera
36624570Q;GAYoYL9whNvB;Jillene Bauduin;097 Mayfield Road;37.14228;-8.331797;Me gusta mucho la pizza
93131281A;0T8xNa0;Aleta Renhard;1 Truax Crossing;38.53692;-3.326278;A el le gusta mucho su escuela
92560279I;JPeashmtxrb;Orelle Baniard;1003 Sauthoff Street;40.15915;-0.96869;Tenian miedo del perro grande
35712352B;cBdg0emOVDu;Siouxie Broadist;108 Nobel Pass;40.435728;-4.786733;Mi padre esta ahora en el jardin
93867983E;gaRyKcyluwc;Darius Randalson;3 Grasskamp Pass;39.008615;-2.561698;Solicita una remision por parte de su empresa
26090157T;Vc9dBsNJ3fx;Sonnnie Bene;74 7th Trail;40.209046;-7.634559;Este camino es muy largo
76024916R;ZNr7xTNPSae;Lavena Cardinal;3 Dorton Center;40.179083;-7.130061;Esta habitacion tiene dos armarios para la ropa
36733552O;KjIM8CzlDdmc;Lil Laingmaid;3326 Prairieview Junction;36.463764;-8.506972;Esta sabana es liviana
67989307X;VatdnG;Susi McMenamin;63 Novick Center;42.206836;-0.678694;Este zapato me queda bien
02500198T;o7yYfYl;Katherine McRannell;206 Sunfield Pass;40.190513;-7.822476;Esto huele bien
40286012K;DQb1caLZnI;Tobye Smithin;20 Main Crossing;41.679883;-5.34215;Esta tienda vende libros viejos
24715637T;ZUKKAcoRNgRm;Pincus Currie;46194 Porter Parkway;41.212681;1.914769;Esta tienda vende joyas antiguas
83923363P;88Uis8M4AUt;Brittaney Fosh;94 Heath Place;40.622917;1.347044;Esta calle esta en Paris
11915635P;Chh5neX4x;Callean Agate;1251 Quincy Pass;40.511751;-8.676347;Este traje me queda estrecho
71576871M;m9zVF5ryxYj;Bronnie Sirey;2721 Killdeer Place;39.669408;-9.198681;Esta mesa es pesada
05566173C;DzI4R9QH1J;Licha Larchier;508 Waubesa Junction;36.958925;-5.594738;Esta mesa es de madera
78637497E;iQZixgtCp;Saxon Daughtry;49963 Moose Crossing;37.483008;-3.633991;Este televisor es pesado
08534507C;UcO1uOmzUp;Saree Mooring;95560 Farragut Circle;38.507779;1.939444;Esta entrada es de papel
90235542D;YegHmwgRav;Lurleen Ribou;10 Petterle Court;37.629157;-3.230804;Por aqui
05015881M;62M1731I;Corrie Sharpe;1098 Meadow Vale Court;38.585198;1.827096;Esta mujer es de China Habla chino
35076639U;hrvoaoI;Brittaney Bengal;1 Lien Crossing;41.364706;1.1087;Este ano va a ser prospero
07929121W;PoX3hc;Nikaniki McArd;7085 Doe Crossing Lane;35.966384;-1.88198;Esta muchacha es de Rusia
12809243C;5SCQF6;Lindsey Muffett;158 Roxbury Center;37.860581;-0.337735;Este hombre joven tiene el pelo azul
76536523R;Ujt3hD1;Morten Peacher;7195 Wayridge Alley;40.158643;-5.439304;Esta joven tiene pelo negro
16503844Z;yBAnnXg1W;Enriqueta Carwithan;25357 Kensington Center;40.354503;-2.432597;Miles de familias quedaron sin hogar
40746090E;mt8tYVpL;Steffane Hanrott;172 Hooker Circle;38.638902;-5.219972;Un monstruo de tres manos salio del armario
38907318P;g2xiDY;Hurleigh McWhannel;145 Loomis Lane;42.858441;-2.11297;Eche los papeles en la cesta
79249251F;66uK169;Austina Keasy;07099 Shelley Avenue;40.532804;-5.79074;A la oficina de la linea aerea
41338870Z;MdXMMu;Jessee Menichi;67 Waxwing Junction;39.092346;0.78445;Al Sur
22498532W;Ds4pBp;Caroljean Filipchikov;91178 Shasta Pass;42.439224;-8.547476;A la piscina
86472996M;xKCzQ0BTC2X;Alyse Kibard;87367 Anhalt Hill;42.280248;-6.808032;Al pueblo
19612898E;OgOU70LfOZp;Job Serman;4984 Granby Parkway;41.533643;1.950396;Hoy pienso tener un dia estupendo
54092512C;6l75roS8eN;Shannon Adrienne;540 Quincy Alley;37.91347;-6.899549;Hoy cumplo cuatro anos
94004806C;CmearY8;Jobey Brandenburg;8 Darwin Terrace;41.540961;-0.903895;Hoy es el dos de enero
00442237S;PQclbd;Josias Gommes;209 Northport Lane;35.997603;-5.634191;Hoy es el uno de setiembre
43126952T;IfauWh;Carmita De Ath;7204 Rusk Lane;40.052261;-3.756976;Hoy es martes Estoy comprando peces
77419362O;gyiapW7;Erastus Tilne;957 Starling Drive;42.531714;2.956933;Hoy es miercoles Estoy leyendo
59891197O;goHBAHu31dv;Delmar Lethlay;6541 Heath Road;36.182112;1.783999;Hoy es tu cumpleanos
66528669O;uIkrpx;Bonny Lewerenz;46058 Sheridan Plaza;41.875671;-5.41469;Hoy mi hijo cumple cuatro anos
65158879Y;xxDqzF61Y9Uc;Brant Virr;49 Buhler Road;37.218627;-5.947223;Hoy ella cumple diez anos
74407167D;y20GLSQU0tDX;Wendye Camlin;49508 Eastwood Road;39.023319;0.753244;Hoy tu cumples cuatro anos
90595989I;McebVLWHS;Allegra Stobbes;833 Little Fleur Center;42.057817;-8.800678;Hoy cumplo veinticinco anos
35578739V;FV5IGTSVj;Tarra Brotherwood;6925 Arizona Hill;38.778633;0.54669;Hoy nosotras cumplimos diez anos
08866765F;6SBLmX;Beilul Conroy;32 Kim Alley;37.836631;-2.891381;Manana te devuelvo el dinero que me prestaste
90021849U;XavbXXa;Blinnie Rumsby;6736 Londonderry Hill;41.071733;-6.431593;Manana es dia de fiesta
56136261K;DIBuGFfCT;Estrellita Zolini;6559 Ohio Way;38.374736;-8.72488;Trate de averiguar si es verdad todo lo que dijo
80943658Z;FkSmV8mtTznE;Emeline Crimpe;9 Morning Crossing;41.565644;-6.248426;Da la vuelta
28796110T;H23npPV;Dotty Brandes;28 Browning Point;37.33193;-0.578267;Doble a la izquierda
12385273M;getfHVt;Elvina Presidey;5054 Esker Way;36.83793;-0.321738;Apague la luz al salir del cuarto
90158926O;w0732n;Orland Sorton;9 Westport Street;37.90725;-7.546096;Encienda la luz por favor
58946467N;AtAJtK;Willyt Langridge;5 Macpherson Alley;40.082916;-3.745381;Doble a la derecha
34935790W;VVIWlVbS;Ario Badsworth;71588 Glacier Hill Park;39.754828;-3.134788;Doble la esquina y vera la tienda que busca
33236140I;SXeoCaDeK;Kipper Kingsland;299 Bartelt Terrace;42.404738;1.406223;Dos huevos fritos y un cafe por favor
45822872Q;LXvjTxBdQ;Candace Liptrot;10372 Springview Way;42.075916;0.475342;Hace dos meses hice practicas laborales en una fabrica
49925368P;O6PQXPyNKxgl;Forbes Troy;0988 2nd Place;39.652292;1.957869;Dos botellas pequenas por favor
32130502O;6QmDSyG5f;Napoleon Alcalde;20824 Hovde Park;41.134265;-7.22212;Bajo que nombre trabajaste como agente
25218779A;in5EzNqJYHXd;Spenser Hansell;414 Clemons Trail;41.017328;3.97882;Por desgracia no los puedo ayudar
31523859I;U7uQ4uq;Natassia Masurel;77888 New Castle Place;38.465566;-7.756604;Al ver lo que pasaba decidimos salir
03032088E;TOPM0Ajy;Blake Vynoll;39 Daystar Alley;42.456406;2.262812;Muy bien gracias
26292899N;5MJR0w;Ashely Nye;74815 Cody Street;40.241433;-1.706074;Muy bien Como estas tu
09471862W;gG28HeE;Silas Freiberg;82 Novick Drive;40.991152;-2.317663;Muy bien Gracias
80965257B;7SgjAo7BE;Sylvester Van;576 Harbort Terrace;37.108716;-6.617289;Espere un momento
81741086U;IR4elx;Bran de Broke;843 Sycamore Alley;40.674203;-0.992601;Esperame
15999153B;l9V2sUOlO3Ly;Franny Shackleford;215 Miller Point;36.981933;-1.471071;Espere la senal verde antes de empezar a atravesar
33792057Z;5iuKmlPooPk;Troy Sigward;1965 Badeau Way;42.619287;0.1486;Se necesita camarero
71981873C;wDyBkGJq;Rolph Alldred;98 Mitchell Plaza;40.02038;-8.158194;Camarero por favor Necesito una cuchara para la sopa
40188906V;PuOeYvb;Lindon Enrich;554 Myrtle Pass;42.226534;1.205583;Camarero la cuenta por favor
94991044Q;ImP2xLND;Ingaberg Dainter;6 Monument Park;39.739116;-4.349204;Yo no sabia que eras un pajero
09960903M;njnx3LAcI;Arlette McAdam;36 Glendale Place;39.55596;-5.682429;Lavate las manos por favor
54301751X;KKj3bsN;Florie Caffin;2 Moose Street;40.297914;2.36479;Lavense las manos
02643331W;7XShjOj2aFG;Myron Dockwray;680 Fallview Pass;40.745516;-7.310373;El agua verde no es buena para beber
76131330Y;q9wtNon;Yovonnda Wastie;45 Pleasure Street;38.184282;2.99445;Estamos de acuerdo con usted
70638127E;BheIoRpx;Wynny Ximenez;3 Westport Alley;41.280894;-1.87239;Todos llevamos nuestra cruz
58092230H;wY0V37XqnAQ;Winn Balsillie;858 Gulseth Hill;37.853432;-0.322248;Siempre nos acostamos tarde cuando visitamos un pais extranjero
79824283T;1cRMZM4CKR4;Claudie Scandwright;56 Cordelia Point;43.208831;-0.985023;Somos rubias
92446783L;byvn8tg8V9GY;Annabela Bridgestock;10689 Norway Maple Pass;40.644808;-8.279317;Estamos desayunando adentro
04214135I;PWCJt7fDFo;Yuri Picopp;9 Coolidge Alley;38.442075;-4.478005;Estamos cenando afuera
11733733T;HpArf5f8Wr;Nola Lace;03 Vera Circle;38.478389;2.397086;Somos de Columbia
78407794K;uUnAYj;Sidoney Donnersberg;009 Thackeray Park;40.929827;-4.121896;Somos de Francia
54784234B;mBKGdZ2;Petronilla Stoffers;24 Bluestem Terrace;39.964404;2.520071;Somos canosos
49413863S;aaPQdrGyQKd9;Wileen Brammall;19166 Fair Oaks Alley;42.108616;-1.280293;Estamos jugando un juego con nuestros invitados
64133056D;o7xpwDAvhc;Herrick Van der Beek;84790 Debra Center;41.824161;-3.173799;Estamos estudiando espanol
09463146T;dDIDL5dsT;Johanna Tingey;752 Straubel Circle;41.047872;-5.412252;Viajamos a Barcelona
09625603X;4qbwImVuhZCq;Pavel Studman;0 Montana Point;40.275909;-0.77526;Nos pusimos a reir cuando conto el chiste
27168226K;3N5ttjlM;Vickie Barlee;90 Bluejay Avenue;40.962925;-2.704381;Podemos seguir jugando con tal de que no hagamos demasiado ruido
87096938V;KGe6eVe;Dewey McAnalley;19108 Novick Center;40.547099;-6.477563;Podemos oir la campana de la iglesia todas las mananas
87788393F;0EAXmi5zF;Kelvin Ferrolli;16 Fieldstone Place;40.506559;2.892561;Podemos salir despues del almuerzo
82230042O;ru6zHg;Maxy Sebrens;33456 Di Loreto Drive;41.950146;-1.583499;Escogimos un hotel cerca de los museos
78400805G;heL4Zx;King Bradforth;92 Talmadge Court;40.793161;-2.771466;Ayer hicimos mucho y estamos cansados hoy
82448487V;Z3oLIkDj;Gabrila Pickersgill;547 7th Center;39.905129;-7.986389;No sabemos lo que el hizo en la fiesta
33777336T;7dSnZvm;Louisa Feavyour;121 Melody Lane;41.147921;2.81333;Comemos asado y pescado empanado
02523494O;eJCxPg14zsv;Perla Feldklein;97120 Oxford Road;39.372818;-4.80959;Nos vestimos en la manana
40582617M;Y4e4RXkdZ;Jim Manoch;89432 Eastwood Park;41.424956;-9.97972;Lo conseguimos para ella
20915347X;HvLxxaw14;Darrell Eccleston;2778 Crowley Center;42.285971;-7.4534;Lo conseguimos gracias a ella
18772888N;nRru4ViPow;Euell Nardoni;27 Kropf Trail;36.052609;-3.48371;Nos divertimos mucho anoche
18795802K;hHh0COr18y;Towny Cooksey;6672 2nd Street;36.207461;-0.574758;Tuvimos un examen
30532371R;CveC58;Manon Spinelli;6990 Mallard Lane;37.684984;-8.873434;Tuvimos que cerrar las ventanas para que no entraran los mosquitos
36398181B;7gBkFP;Carolynn Nicholl;01777 Coleman Trail;39.283354;-3.374928;Tuvimos que cerrar la ventana por los mosquitos
33777198S;YwwNi5;Bab Davidsen;362 Daystar Alley;39.831388;-6.3426;Tenemos blusas de algodon o de seda
91782061D;z6JgcOeJMDZQ;Shayla Barts;42 Union Circle;40.21498;-2.204607;Tenemos cuarenta y cinco
04328579S;lZQkUpG;Yurik St Quintin;18 Schiller Point;36.555881;1.705931;Almorzamos entre las doce y media y la una y media
79893221S;3nlLzcNmV;Arliene De Ferraris;20031 Petterle Pass;40.976256;-7.82833;Aqui se cena a las nueve
86237654S;6KnBEt;Evonne Steart;5335 Westport Parkway;37.449035;-8.53001;Tenemos tapas y raciones
12840147S;Ibf71K;Xylia Westhofer;706 Heath Alley;38.584517;-1.79355;Tenemos que correr para llegar a tiempo
23009902Z;8oivxH4qqwj;Pietra Messent;7 Glendale Lane;40.094576;1.112638;Tenemos veinticuatro sillas en este clase
54588685L;GXifwkg;Alix Hazeldene;283 Morning Center;40.600466;1.330039;Esperamos volver el ano que viene
81929943P;JK4lWH3TTo;Jaimie Meak;2784 Briar Crest Center;39.086989;-2.659355;Aprendemos mucho en nuestros viajes al extranjero
84524430Y;wAMMItCN;Ginevra Dragge;724 Barby Crossing;38.053711;-4.277055;Vivimos en una casa
55578787L;BjOXnX;Almire Laughrey;399 Graceland Lane;41.822383;-6.136781;Vivimos en un apartamento
98388036J;xND0lk;Pall Morfey;1760 Dawn Junction;36.848953;-3.392183;Vivimos en Nueva York
00031068A;437QXN3r;Delmore Tierny;15490 Warrior Road;37.857414;-1.604673;Vivimos en los Estados Unidos
47403565B;ro5DUAf;Myca Fairbridge;99902 Red Cloud Park;41.15905;-3.891586;Hay que tener fe en el presidente
95050076P;IKCH3EuD;Jerrold Clinch;8 Macpherson Drive;41.707791;-1.22612;Debemos llamar a una ambulancia
86657991E;qJbmApCaJK0;Wes Jervis;016 Sunbrook Terrace;37.913152;-1.725934;Debemos llamar a la policia
74634600A;B5lRdH3;Dinnie Arlidge;035 2nd Hill;39.358748;-2.430874;Necesitamos un cuchillo para la mantequilla
26652034Q;kGbeNagJaB;Vanessa Mulhall;62184 Harbort Park;39.191125;-0.8862;Necesitamos llegar a un acuerdo
04317866F;a5SwW1ZB;Sherlock Mirfin;1323 Burrows Lane;42.275382;-1.279013;Necesitamos tener un contrato
65590698L;CG0DTw;Laural Piscopello;5 Bashford Alley;39.887604;2.745976;Vendemos joyas en la joyeria
35725368R;ROfulFD1wQG;Raye Souch;9 Oneill Court;37.65381;-7.495966;Vendemos platos de metal papel y madera
61479120T;enT2XYHxpIYR;Roda Dwine;77 Badeau Point;37.622548;-7.839637;Deberiamos usar las mantas electricas esta noche
69141819M;Ct0ZSjP;Gussy Jouannot;380 American Ash Place;42.071569;-0.46424;Deberiamos usar la chimenea esta noche
79232132M;va48zd;Napoleon Drayton;844 Vahlen Place;40.67063;-7.667251;Pasamos los fines de semana en nuestra casa de campo
08006950M;PNv1jq;Kevon Maisey;45842 Warrior Place;36.298634;-4.391738;Nos quedamos en el Dorchester
75859572Y;Dmcn5NlU;Town Sebrens;8 Emmet Crossing;42.749768;-1.480945;Nosotros estudiamos arabe
58017953C;gkkg1y;Garrik McQuillan;96 Elmside Hill;37.162946;-3.937573;Estudiamos chino
02390610L;MSkMjnmyN;Rhys Saenz;683 Pawling Crossing;41.247616;-5.122725;Queremos asistir al concierto de esta noche
66355919H;scGja7Vf0FU;Lynea Ghiotto;05 Westend Lane;37.145453;-2.239113;No pudimos comprar entradas asi que no fuimos al concierto
49894565O;mMtB9S6iEma;Jeremiah Chapple;0300 Park Meadow Lane;36.426316;-7.323586;Tendremos que hacer algo
07399937X;3OhahJ;Mandel McGahy;9246 Pleasure Lane;43.194687;-3.561707;Quisieramos cambiar de habitacion es demasiado ruidosa
36184985B;FHuMLV;Cher MacElroy;023 Hanover Junction;39.940729;-4.850349;Tendremos que esperar algunos minutos
70383207A;9MooA314V;Pearle Hebden;19 Meadow Valley Plaza;39.999143;-1.779604;Comenzamos a comprender mejor
24869031J;wtpu0XoAmCi;Libbi Mardle;085 Elmside Court;41.68184;-4.502254;Estamos cerrados manana
06161137E;nCq6T6iXC;Glenden Seward;32 Ludington Terrace;41.290303;-6.51111;Estamos aqui para ayudarlos
82028576H;Kr5dS9xm;Libby Capelen;6 Thompson Park;41.873551;-8.60131;Nos interesa observar las costumbres de las diferentes regiones
70944197P;jbyFgaRrsCJ;Winston Dorsett;73832 Kedzie Junction;38.805932;-0.57416;Buscamos un apartamiento con dos dormitorios
58788075P;L72kJ9i;Fabiano Waszczyk;5 Corben Point;43.173146;-2.36075;Estamos abiertos manana
88864213C;A0U7XLWhmfFJ;Gipsy Compfort;033 Blue Bill Park Junction;41.779826;-0.732536;Tenemos calor
69764908F;940afp18;Kelli Cobbing;7459 Golden Leaf Crossing;41.092083;-4.319968;No tenemos frio
42914727G;MW9NWdJQWX;Lora Nurcombe;71 Waubesa Terrace;38.937385;-1.783631;El tiempo cambia con frecuencia
78231182M;7UMvH3;Rhody Everingham;59 Old Shore Junction;39.314733;-8.832672;Bienvenido a Columbia
59047816Z;iVDuoU;Marlon Larmuth;2 Menomonie Junction;39.423711;-0.472761;Bienvenidos a nuestra casa
70784218F;XMBHv7cmP4vg;Faber McPhilip;27395 Harper Park;38.326442;3.13719;Bienvenida a nuestro restaurante
18142604C;Ko9MYy4n1Jf;Leopold Serris;489 Farwell Circle;40.51264;-6.334818;Bien hecho
54412326L;WhsF1MPGzzi;Clemens Martinie;46 Corscot Center;38.177389;-2.303791;Bueno han decidido ustedes
06589005O;yvq4VVyJdcCe;Joice Joslyn;9 Dayton Center;43.00975;2.40763;Bueno solo veo la tele
17854034N;iWlKEcFSQ2;Alfi Farlowe;28 Corben Hill;40.724949;1.413386;Bueno Ella dijo que se los habias reenviado a Laura
10233801I;ouhLIuEq;Ailbert Jimson;0 Spaight Alley;38.24472;1.18704;Que susto me lleve cuando abri la puerta
76648986I;8f3tV8J953;Amelina Strafford;9 Northland Junction;40.69707;-3.82677;Que paella
51587545E;hGv3E5jz96K;Calvin Brazel;7 Roth Parkway;38.165218;0.8835;Que pena
34786295D;9nlJEfoMxK;Adelice Banasik;301 Vernon Road;36.183009;-6.153403;Que debo hacer
50046446I;mfDUmFLsI;Florella Matt;339 Northview Avenue;38.302743;3.85986;Que animal es grande
76990926O;3gpkIy;Scarlett Laingmaid;30963 Ilene Place;41.774885;-4.396964;Que animal es pequeno
01308842E;d41PeC5AmM;Amerigo Baudains;80 Kropf Street;40.33874;-7.581991;Cuales son mis responsabilidades
59610160V;XahBdqM1e;Gerrie AmeerBeg;6 Birchwood Way;40.432068;-6.680243;Cuales son mis tareas
89844361M;oY0GqrSkSBi;Vanda Bysshe;2451 Oxford Hill;42.687913;-9.153852;Cuales son las horas de comida
30762092J;L2UZx9wi5aZe;Erek Gouck;9157 Westridge Plaza;37.261504;-1.11501;Que son estos cargos extras
09613700B;LUKrD1;Zabrina Clementson;6 Pond Alley;41.245224;-1.675884;Que vas a hacer el ano que viene
60480046J;Y8bn8iKe3PHH;Davita Creenan;37 Hauk Trail;42.86444;-5.593863;En que piensa usted
91679806Q;c1ozytWqVV;Marchall Woodward;33 Carioca Park;42.350939;-4.859702;Que pelota es blanca
63821056J;g6KYbPHr;Morena Sherbrooke;64655 Arapahoe Pass;41.484014;-3.674324;Que bicicleta te gusta mas
41886827C;e4P0ziDm;Kali Cord;5585 Ridge Oak Point;39.05769;0.186886;Lo que me molesta de el es su actitud
57254164M;nH58uvvc;Ardelle Trail;718 Prentice Junction;41.840725;1.700483;A usted que coche le gusta mas
43330651O;wCIYz9DbKu;Boris Naughton;51786 Morrow Plaza;39.910668;-6.52539;Que bebidas frias tiene
77903923O;TbYTnQ;Abra Feldon;785 Mayfield Point;40.353175;-7.593004;De que color quieres la tarta
34544370C;GIgYBI;Kyla Hardway;9498 Old Gate Junction;40.814254;-4.946411;De que color es su sueter
18079510X;Mp63P73zti9L;Nate Raddish;76 Dakota Avenue;36.191473;-6.78013;De que color es tu pelo
95920256V;VwxiVdBNVDCP;Boone Edworthie;2 Rusk Trail;43.213619;-7.55124;Que divisa quiere
94374749I;JPqcP10hfWw;Lenore Viner;91432 Rigney Alley;36.542654;-2.808882;Que compraste
79965882Q;NFRXo3yEdZ;Sven Zamora;9352 Starling Park;38.45794;3.242824;Que te han dicho
66339400F;cfce3wBkmt;Rice Hodinton;7238 Mifflin Hill;41.452279;-4.688503;Hacia donde te diriges
05985240T;2nLu4GNT;Madel McCaffrey;71 Coolidge Avenue;39.484421;3.281045;Que me aconsejan hacer
53407501W;V6NUhhISetpA;Bibbie Pykerman;7 Tomscot Circle;41.416295;-7.77901;Que hace por la tarde
27203804S;vmmE9d;Jere Darlaston;01233 Burrows Road;43.250271;1.34839;Que comeis en vuestro pais
06442168M;BF4k0aYmZ;Sherlocke Trank;3461 Rutledge Pass;38.279809;2.6681;Que te gusta hacer en tu tiempo libre
41511934T;EnRvRg;Karlotta Pentycross;7620 Kropf Road;43.140429;-6.158576;Que te gusta hacer
15267890P;DSUzMg5OU0W;Elbertine Broy;60801 Burning Wood Terrace;40.580981;-3.78112;Que necesitas
88942251D;WsT520H;Mildrid Crowest;2 Debs Road;42.955742;-1.588881;Que me recomienda ver
32432471V;zFfHitZe;Latisha Darwent;860 Thackeray Place;36.388949;-8.157726;Que me recomienda
86284449V;Xvc1WMKUExb;Giffer Dorken;1 Jana Place;38.154358;-5.692673;Que le apetece
00009176V;CkZ30OssZW;Ambrosi OCullinane;3 Linden Point;43.265932;0.512898;Que le parece
28472977L;dcuuyNXgC;Kinny John;4836 Mifflin Point;36.900049;-3.754066;Que piensa usted de eso
32643717V;hDrcWc;Ardine Curnucke;34 Elka Lane;39.25105;-3.65001;Para que lo quieres
04947530J;HZZmuKYc;Mendie Lytlle;2 Meadow Valley Street;37.652237;-0.288016;Que desean ustedes pedir senores
25318092R;nIXoOxy;Hans Bendixen;6 Spenser Street;38.726825;-7.836812;Que desea usted
72561098E;T5xaN6ym77;Jenny Charnock;145 Scoville Lane;39.221972;-0.34328;Que contiene
80887761W;eHsITBWCkv;Felipe Binge;8 School Drive;37.344596;-5.776262;Que quiere decir esto
59135081O;mCXW7n0Z;Emlyn Collaton;81 Mosinee Lane;40.894689;-3.49049;Que vestido te gusta mas
85800916N;2uvYj7u3ne7;Lucine Langstrath;99698 Manley Park;40.237467;-1.199379;Que fruta es verde
18560501H;LbyLEfBgP3;Jilli Hazeup;3 Di Loreto Place;38.775171;-6.409946;Que fruta es roja
96928536S;ayJjAe;Jeniffer Sayburn;5 Lerdahl Center;41.097008;-0.290402;Que tengo que hacer para que me prestes atencion
58991539T;goj6BOA7s;Heida Cinavas;6 Golf Course Park;39.966943;2.611191;Que han hecho ustedes hoy
09319629Q;dXOL09CQB;Stevie Gloyens;01178 Bobwhite Lane;36.164145;-7.106311;Que llevas en el bolso
41343349D;RDVdXk;Chandal Casero;90 Boyd Parkway;39.305063;-5.332727;A usted que casa le gusta mas
65000363T;SW4ZEc0DH7;Sheba Roebuck;03274 Riverside Circle;40.597141;-2.385016;Lo que te voy a decir es estrictamente entre nosotros
69195191R;4hhGT5;Winny Yukhin;560 Homewood Road;37.785208;-7.657377;De que esta hecho
79041164K;GjprtHvLMhL;Dale Penzer;2692 Banding Lane;39.795185;0.253783;Cual es el numero de mi cuarto
60673051P;YhUWFW7eFYo;Klaus Berriman;30 3rd Junction;38.742996;-0.155884;Lo que se necesita es mas tiempo
61331861R;tpNhJw4FnU;Sylvan Bunton;4 Magdeline Lane;40.237727;-6.649384;A cuanto esta el cambio de moneda
27025604D;sQNZZJbV;Adrianne Lovart;327 Fair Oaks Pass;40.878673;-5.224399;Cuanto cuesta por dia
21701415X;qc4ZMtvCnE7o;Alexander Saffen;7 Birchwood Point;38.904519;0.216162;Tu nombre me suena mas lejano que nunca
35968898D;sRUDXIk;Xerxes Feria;6 Farmco Lane;37.913568;-1.913069;Quien es esta chica
45107190D;Gt0lJHHu;Werner Capnor;4180 Fulton Parkway;36.851042;-1.991401;No gracias
18087927Q;r9sSkXgsL;Broddie Patel;43 Schmedeman Alley;36.697113;-8.461521;Que piensas de el
71015265U;j9sgFujON;Alexandr Whapple;9 Bayside Parkway;40.42507;-7.805994;Intento dormir
50434261D;z1ccBPP6Cj8G;Ole Gaenor;2 Onsgard Court;37.485281;-6.863276;No estas cansado
15970705A;9YIhkPwj0SW;Evey Akaster;89263 Ilene Way;41.354682;-2.425908;Que se divierta
69926002D;LGBtXCYYM4q;Killian Letchmore;258 Aberg Trail;41.110876;-3.268099;Que te diviertas
